ID;Gender;Ever_Married;Age;Graduated;Profession;Work_Experience;Spending_Score;Family_Size
466911;Male;Yes;68;No;Executive;10;High;70
462806;Male;Yes;52;No;Artist;0;Low;30
463426;Male;Yes;38;No;Executive;0;High;50
464065;Female;Yes;35;Yes;Healthcare;100;Low;20
462979;Male;No;18;No;Doctor;10;Low;20
462834;Male;Yes;30;Yes;Homemaker;30;Low;20
460764;Male;No;86;No;Lawyer;10;Low;10
466466;Female;;19;No;Healthcare;60;Low;50
460185;Male;No;25;No;Healthcare;90;Low;30
459749;Male;Yes;59;Yes;Entertainment;;Low;40
464406;Female;No;39;Yes;Artist;0;Low;10
467758;Female;Yes;50;Yes;Doctor;10;Low;
462059;Male;No;47;Yes;Artist;10;Low;10
467905;Male;Yes;43;Yes;Executive;0;High;30
461177;Male;Yes;36;No;Executive;80;Average;40
460765;Male;Yes;80;No;Lawyer;10;Low;10
465386;Male;No;36;Yes;Artist;0;Low;20
465827;Male;No;27;No;;20;Low;70
462332;Female;Yes;37;Yes;Artist;10;High;20
464481;Male;Yes;46;Yes;Executive;0;High;30
461011;Male;Yes;55;No;Executive;10;High;40
464749;Female;Yes;47;No;Engineer;90;Average;40
461094;Female;No;28;Yes;Healthcare;10;Low;30
462104;Male;Yes;39;No;Entertainment;90;Low;20
464524;Female;Yes;27;No;Marketing;10;Low;20
466295;Female;Yes;42;No;Engineer;0;Low;
461787;Male;Yes;72;Yes;Artist;0;Average;20
467857;Female;Yes;28;Yes;Engineer;0;Low;20
460153;Male;No;35;Yes;Entertainment;80;Low;50
465215;Male;Yes;39;Yes;Executive;90;High;50
466746;Female;Yes;69;Yes;Lawyer;0;High;20
464857;Male;No;18;No;Healthcare;60;Low;40
459478;Male;Yes;46;Yes;Artist;;Low;10
460723;Female;Yes;50;Yes;Engineer;10;High;20
459853;Male;No;30;No;Executive;50;Low;50
459390;Female;No;41;No;Artist;;Low;20
460410;Female;No;39;Yes;Artist;30;Low;40
463823;Female;No;29;No;Marketing;80;Low;40
462008;Female;Yes;37;Yes;Artist;40;Low;40
459750;Female;Yes;39;Yes;Engineer;0;Average;20
459880;Female;Yes;48;Yes;Artist;0;Average;50
459261;Female;No;32;Yes;Doctor;0;Low;30
465656;Male;Yes;78;No;Lawyer;10;Low;
465395;Female;Yes;43;No;Engineer;0;Average;50
461631;Male;No;29;No;Marketing;80;Low;50
464904;Female;Yes;28;No;Engineer;90;Average;20
461740;Male;Yes;80;Yes;Lawyer;10;Low;10
467092;Female;No;28;Yes;Healthcare;70;Low;40
464173;Male;Yes;71;Yes;Artist;60;Average;30
464972;Male;Yes;67;No;Lawyer;0;High;90
467959;Female;No;26;No;Engineer;0;Low;10
467688;Female;Yes;47;Yes;Engineer;0;Average;20
460043;Female;Yes;43;Yes;Artist;20;Average;20
466590;Female;No;27;Yes;Healthcare;0;Low;40
461191;Female;Yes;45;Yes;Marketing;80;Low;40
465662;Male;Yes;76;No;Executive;10;Low;10
459231;Female;Yes;43;Yes;Artist;30;Average;40
466495;Female;Yes;78;Yes;Lawyer;10;High;20
459192;Male;Yes;35;Yes;Artist;30;Average;30
465710;Female;No;49;Yes;Artist;10;Low;10
460258;Female;No;25;Yes;Healthcare;10;Low;50
462813;Male;Yes;37;No;Executive;0;Average;50
463595;Female;No;32;No;Healthcare;10;Low;50
467768;Male;Yes;60;Yes;Doctor;0;Average;20
465291;Female;Yes;45;Yes;Artist;50;Average;30
462996;Female;Yes;49;Yes;Homemaker;90;Average;30
463497;Male;No;32;Yes;Artist;0;Low;50
465301;Female;Yes;40;Yes;Artist;0;Low;30
464702;Male;Yes;59;No;Artist;20;Average;20
459012;Male;Yes;48;Yes;Artist;30;Low;50
465053;Male;Yes;82;Yes;Executive;0;High;20
459420;Female;Yes;70;Yes;Lawyer;0;Low;20
464166;Male;No;31;Yes;Artist;50;Low;20
458987;Female;Yes;72;Yes;Lawyer;0;High;20
467745;Male;Yes;50;Yes;Artist;30;Average;40
464866;Female;No;23;No;Engineer;110;Low;10
461081;Female;No;20;No;Healthcare;20;Low;60
467896;Female;No;22;No;Healthcare;40;Low;30
463991;Female;No;31;Yes;Engineer;80;Low;10
466620;Female;Yes;36;Yes;Artist;70;Average;20
462594;Male;Yes;52;No;Entertainment;;Average;50
462206;Female;No;29;Yes;Artist;;Low;10
460697;Male;Yes;40;Yes;Artist;40;Average;40
467934;Female;No;40;Yes;Artist;10;Low;10
460054;Male;Yes;38;Yes;Artist;;Low;20
459576;Female;Yes;85;No;Lawyer;;Low;
467910;Female;No;21;No;Doctor;10;Low;30
467335;Female;Yes;41;No;Engineer;40;Average;20
460263;Male;Yes;40;Yes;Artist;0;Low;20
459340;Male;Yes;53;Yes;Artist;10;Average;30
465622;Female;Yes;42;Yes;Artist;50;Low;20
459395;Male;Yes;42;No;Executive;80;Low;20
467539;Male;Yes;48;Yes;Artist;;Average;40
466574;Male;Yes;59;Yes;Artist;70;Low;20
466544;Male;Yes;41;Yes;Executive;10;Average;30
463610;Female;Yes;31;Yes;Artist;0;Average;20
465539;Female;Yes;49;Yes;Artist;10;High;50
459823;Male;Yes;67;Yes;Executive;10;Low;20
467614;Male;Yes;35;No;Artist;40;Average;20
459073;Female;No;26;Yes;Healthcare;0;Low;30
466065;Male;;19;No;Healthcare;90;Low;30
464863;Female;Yes;25;No;Engineer;60;Average;80
460022;Female;Yes;39;Yes;Healthcare;40;Low;20
459929;Male;Yes;63;Yes;Entertainment;0;Low;20
466613;Male;No;23;No;Healthcare;80;Low;30
461149;Female;No;23;No;Healthcare;0;Low;30
466068;Female;Yes;53;Yes;Artist;20;Low;10
461513;Male;No;33;Yes;Doctor;0;Low;20
464761;Female;Yes;50;No;Engineer;;Average;40
466236;Female;Yes;69;Yes;Engineer;0;Low;20
459664;Male;No;37;Yes;Artist;20;Low;10
461967;Female;No;20;No;Marketing;30;Low;40
460516;Female;;85;No;Lawyer;0;High;10
461710;Female;Yes;49;Yes;Doctor;10;Average;40
462742;Male;No;18;No;Healthcare;0;Low;30
459528;Female;Yes;52;Yes;Doctor;0;Average;20
462691;Male;Yes;25;No;Doctor;;Average;20
462934;Male;Yes;56;No;Executive;;High;20
465837;Male;No;62;Yes;;0;Low;10
464613;Female;No;35;;Artist;0;Low;30
467515;Male;Yes;28;Yes;Engineer;0;Average;20
463429;Female;No;28;Yes;Artist;70;Low;30
464024;Male;No;20;No;Healthcare;0;Low;50
460691;Female;No;27;No;Homemaker;80;Low;10
461825;Female;No;56;No;Engineer;;Low;10
467271;Male;Yes;45;Yes;Artist;40;Average;40
465634;Male;No;25;Yes;Healthcare;10;Low;40
464801;Male;No;40;No;Marketing;10;Low;10
459429;Female;Yes;25;Yes;Healthcare;;Low;20
459888;Female;Yes;74;No;Lawyer;;High;20
463467;Female;No;23;No;Healthcare;0;Low;40
462036;Female;Yes;67;Yes;Lawyer;0;High;20
461282;Male;No;21;No;Healthcare;0;Low;40
460448;Female;No;38;Yes;Artist;90;Low;10
464464;Male;No;28;No;Healthcare;0;Low;40
462410;Female;No;32;No;Healthcare;10;Low;50
467252;Female;No;33;Yes;;0;Low;40
459756;Female;Yes;56;No;Lawyer;10;High;40
463789;Female;Yes;53;Yes;Artist;10;Low;20
466947;Male;Yes;57;No;Executive;10;High;50
464150;Female;Yes;59;Yes;Artist;0;Average;30
465693;Female;Yes;25;Yes;Healthcare;10;High;40
461670;Male;Yes;59;Yes;Artist;0;Average;60
466768;Female;Yes;36;Yes;Artist;0;Low;40
461550;Male;Yes;37;Yes;Entertainment;70;Low;20
462438;Male;No;22;No;Doctor;10;Low;30
460704;Male;Yes;43;Yes;Artist;10;Low;20
464884;Male;Yes;41;Yes;Artist;10;Low;20
467050;Female;No;21;No;Engineer;0;Low;50
460738;Female;No;49;No;Engineer;10;Low;
466176;Male;No;38;Yes;Doctor;80;Low;10
459488;Male;Yes;47;No;Artist;;Average;40
467773;Male;Yes;70;Yes;Lawyer;10;High;30
465425;Female;No;31;No;Engineer;10;Low;40
462318;Female;Yes;82;No;Lawyer;0;Average;20
466078;Female;Yes;51;No;Executive;;Low;10
460792;Female;No;42;No;Homemaker;110;Low;
460197;Male;No;38;Yes;Artist;80;Low;30
459375;Male;Yes;18;No;Executive;0;High;40
463862;Male;Yes;50;Yes;Artist;60;Average;30
460144;Female;No;46;Yes;Doctor;10;Low;
462721;Female;Yes;72;No;Lawyer;10;High;30
459637;Female;No;33;No;Engineer;;Low;40
465809;Female;No;25;No;Homemaker;10;Low;70
466915;Female;Yes;75;No;Entertainment;20;High;20
467343;Male;No;72;Yes;Artist;10;Low;10
466268;Female;Yes;72;Yes;Artist;0;Average;30
464868;Male;Yes;36;Yes;Entertainment;60;Low;60
464038;Male;Yes;40;Yes;Artist;10;Low;20
460176;Female;No;28;Yes;Entertainment;0;Low;40
462161;Female;No;28;Yes;Doctor;0;Low;30
464841;Male;;19;No;Entertainment;0;High;30
464893;Male;Yes;43;Yes;Artist;0;Low;20
464443;Female;Yes;35;Yes;Artist;10;Average;20
467619;Male;Yes;65;Yes;Lawyer;10;High;20
465974;Male;Yes;52;Yes;Executive;70;High;40
462075;Female;No;40;Yes;Artist;10;Low;10
459494;Female;Yes;69;No;Engineer;90;Low;30
466921;Female;No;22;No;Healthcare;30;Low;30
463544;Male;Yes;47;Yes;Executive;10;Average;40
461167;Male;Yes;29;Yes;Marketing;10;High;20
467364;Male;Yes;46;Yes;Artist;10;Average;30
462408;Male;No;32;Yes;Artist;10;Low;20
466224;Female;No;38;Yes;Healthcare;0;Low;10
465151;Male;Yes;59;Yes;Artist;0;Low;10
467216;Female;No;26;Yes;Entertainment;10;Low;10
460586;Male;No;26;Yes;Healthcare;10;Low;20
461197;Male;No;28;No;Marketing;0;Low;10
462776;Female;Yes;53;Yes;Engineer;10;Average;30
465058;Female;No;43;;Entertainment;;Low;10
464088;Male;No;27;No;Doctor;10;Low;30
459471;Female;No;32;No;Artist;;Low;80
464695;Male;No;26;No;Engineer;0;Low;40
462331;Female;No;31;No;Entertainment;0;Low;20
466523;Male;Yes;39;Yes;Executive;10;High;30
465337;Female;Yes;43;No;Engineer;10;Low;30
460834;Male;Yes;25;No;Doctor;10;Low;20
466824;Male;Yes;40;Yes;Artist;30;High;30
461607;Female;Yes;40;Yes;Entertainment;70;Average;20
465091;Male;Yes;63;Yes;Entertainment;;Average;30
459532;Female;Yes;27;Yes;Healthcare;;Low;20
466999;Male;No;27;Yes;Healthcare;10;Low;30
466597;Female;No;19;No;Healthcare;10;Low;20
464075;Female;Yes;86;Yes;Lawyer;0;High;20
463394;Male;Yes;41;Yes;Marketing;;High;20
462163;Female;Yes;27;Yes;Artist;40;Average;20
463895;Female;Yes;70;No;Doctor;0;Average;20
464767;Female;Yes;53;No;Engineer;80;Average;40
464763;Female;Yes;49;No;Engineer;;Average;40
460718;Male;Yes;55;No;Executive;30;Low;
461989;Female;;57;Yes;Engineer;0;Average;40
466374;Male;Yes;83;No;Lawyer;;Low;10
463738;Male;Yes;43;No;Executive;0;High;40
465967;Male;Yes;36;No;Doctor;60;Low;30
462260;Male;Yes;74;Yes;Lawyer;0;Low;20
467234;Female;No;30;No;Homemaker;0;Low;40
466573;Female;No;37;Yes;Artist;50;Low;20
463229;Female;No;22;No;Marketing;0;Low;10
459768;Male;No;19;No;Healthcare;0;Low;40
462541;Male;Yes;70;Yes;Engineer;40;High;20
467714;Male;Yes;89;Yes;Lawyer;130;Low;10
467730;Male;No;18;No;Healthcare;;Low;40
459474;Male;No;25;Yes;Doctor;60;Low;10
460093;Female;No;45;Yes;Artist;40;Low;10
467865;Female;No;35;Yes;Artist;30;Low;10
465758;Female;Yes;37;No;Engineer;70;Low;10
464184;Female;Yes;39;No;Engineer;40;Average;20
462618;Female;No;32;Yes;Healthcare;10;Low;50
464226;Female;Yes;62;Yes;Artist;20;Average;30
465432;Female;Yes;58;Yes;Engineer;0;Average;40
464087;Female;No;32;No;Engineer;;Low;40
466627;Male;No;25;No;Healthcare;0;Low;50
467380;Female;Yes;56;Yes;Artist;0;Average;40
465842;Female;No;36;Yes;Entertainment;100;Low;20
464622;Female;No;30;No;Healthcare;80;Low;30
462083;Male;No;19;No;Healthcare;10;Low;50
460910;Male;No;27;Yes;Healthcare;0;Low;20
460255;Female;No;38;Yes;Doctor;140;Low;10
460109;Male;Yes;46;Yes;Artist;80;Average;20
464306;Male;No;29;Yes;Artist;30;Low;10
466835;Male;Yes;51;No;Entertainment;10;Average;40
465192;Male;Yes;55;No;Artist;0;Low;10
463380;Female;Yes;69;Yes;Engineer;10;Low;10
462391;Female;No;26;No;Healthcare;10;Low;80
467086;Female;Yes;83;Yes;Lawyer;0;Low;30
460306;Female;No;39;Yes;Healthcare;90;Low;10
460752;Male;Yes;35;Yes;Artist;90;Low;10
467264;Male;Yes;19;No;Marketing;20;High;50
461646;Female;Yes;60;Yes;Artist;;High;40
463570;Male;Yes;35;Yes;Artist;;Average;40
465277;Female;No;53;Yes;Engineer;;Low;10
467426;Female;Yes;86;No;Lawyer;;Low;
466258;Female;No;29;No;Healthcare;10;Low;30
463719;Female;No;26;No;Doctor;0;Low;10
460032;Male;No;36;Yes;Engineer;80;Low;10
465175;Female;No;22;No;Homemaker;0;Low;40
466610;Male;No;19;No;Marketing;0;Low;50
459036;Female;Yes;20;Yes;Lawyer;10;Average;30
464047;Male;No;43;Yes;Healthcare;30;Low;30
459496;Female;No;42;Yes;Artist;;Low;30
459997;Male;No;43;Yes;Entertainment;10;Low;20
463382;Female;Yes;50;Yes;Engineer;40;High;30
460967;Male;No;25;Yes;Entertainment;10;Low;20
465094;Male;Yes;61;No;Artist;10;High;20
461229;Female;Yes;28;Yes;Healthcare;0;Average;20
466442;Male;No;38;Yes;Artist;10;Low;10
464527;Male;No;25;No;Executive;120;Low;30
463560;Female;No;18;No;Healthcare;90;Low;50
460011;Male;Yes;43;Yes;Entertainment;10;Average;50
467207;Female;No;27;Yes;Artist;80;Low;10
465177;Female;No;60;Yes;Entertainment;10;Low;20
467531;Male;Yes;75;Yes;Lawyer;20;Low;10
465409;Female;No;31;No;Doctor;;Low;40
462842;Male;No;23;No;Doctor;60;Low;40
462124;Male;No;36;Yes;Artist;80;Low;10
466265;Male;No;30;No;Doctor;10;Low;10
459789;Male;Yes;56;No;Artist;10;Average;20
464223;Female;Yes;52;Yes;Artist;20;Low;20
460280;Male;Yes;39;Yes;Entertainment;0;Low;10
460331;Female;No;35;No;Artist;50;Low;10
461494;Male;Yes;33;No;Engineer;0;Average;20
460035;Female;No;25;Yes;Artist;0;Low;60
463812;Female;Yes;27;Yes;Artist;0;Average;20
465569;Male;Yes;35;Yes;Artist;10;High;30
466333;Female;Yes;41;Yes;Artist;10;Average;20
467668;Female;Yes;49;Yes;Artist;;Average;30
462723;Female;Yes;46;No;Artist;80;Average;20
460909;Female;No;31;No;Healthcare;;Low;20
467777;Male;No;49;Yes;Doctor;;Low;10
462404;Female;No;26;Yes;Artist;90;Low;10
461799;Male;Yes;43;Yes;Doctor;130;High;20
459933;Female;Yes;30;Yes;Artist;80;Low;40
463717;Female;Yes;70;Yes;Artist;10;Average;40
463652;Female;No;28;Yes;Artist;;Low;10
462149;Female;Yes;89;No;Lawyer;30;High;10
462769;Female;Yes;42;No;Homemaker;60;High;40
465532;Female;Yes;37;Yes;Entertainment;60;Average;30
462829;Male;Yes;29;No;Executive;10;Average;30
459210;Female;Yes;68;Yes;Artist;10;High;20
464659;Female;No;25;No;Engineer;10;Low;10
461411;Male;No;29;No;Healthcare;10;Low;
467759;Female;Yes;48;Yes;Doctor;0;Low;20
461475;Female;Yes;51;Yes;Doctor;10;Average;30
462714;Female;Yes;40;Yes;Engineer;10;High;50
466890;Male;Yes;47;Yes;Artist;0;Average;60
462888;Male;Yes;39;Yes;Executive;;High;30
467479;Male;Yes;35;Yes;Executive;10;Average;40
466799;Female;No;19;No;Healthcare;20;Low;30
466557;Female;No;21;No;Healthcare;70;Low;
460873;Male;Yes;46;Yes;Entertainment;0;Average;30
466776;Male;Yes;86;Yes;Lawyer;0;Low;10
459462;Male;Yes;66;Yes;Artist;0;High;20
465727;Male;No;42;No;Marketing;10;Low;50
462348;Female;Yes;73;Yes;Lawyer;10;High;20
460941;Male;Yes;72;No;Engineer;10;Low;10
461629;Male;Yes;53;Yes;Artist;0;Low;30
459907;Female;Yes;39;Yes;Artist;80;Average;20
467146;Female;No;27;No;Homemaker;90;Low;10
460916;Male;Yes;63;No;Entertainment;10;Average;
459196;Female;No;23;No;Healthcare;10;Low;30
465444;Female;No;30;Yes;Entertainment;0;Low;40
464186;Female;Yes;39;Yes;Artist;50;Average;20
466412;Male;Yes;26;Yes;Artist;10;Average;30
459480;Female;Yes;50;Yes;Entertainment;70;Low;30
467880;Female;Yes;45;Yes;Artist;10;Average;20
460216;Female;No;62;No;Entertainment;20;Low;10
467941;Female;No;27;Yes;Doctor;10;Low;30
466090;Male;Yes;57;Yes;Entertainment;10;Low;
462572;Female;Yes;30;No;Engineer;10;Average;70
467443;Male;No;32;No;Healthcare;70;Low;40
462548;Male;No;18;;Executive;;Low;50
459701;Male;No;47;No;Artist;30;Low;30
461139;Female;No;32;Yes;Artist;40;Low;40
461115;Female;Yes;32;No;Engineer;50;Low;30
459027;Male;Yes;67;Yes;Doctor;10;Average;40
467340;Female;Yes;77;Yes;Lawyer;0;High;20
461410;Male;Yes;79;No;;0;Average;20
460857;Male;No;31;No;Entertainment;10;Low;10
464300;Male;Yes;42;Yes;Artist;0;Low;30
460532;Female;No;18;No;;0;Low;60
463287;Male;Yes;50;Yes;Artist;10;Average;40
461392;Male;Yes;71;Yes;Artist;0;Average;50
461546;Female;Yes;72;No;Lawyer;10;Low;30
467780;Male;Yes;47;Yes;Artist;;Low;30
462130;Male;Yes;45;Yes;Artist;90;Average;20
464684;Female;No;40;No;Engineer;90;Low;50
462276;Female;No;36;Yes;Engineer;40;Low;10
462142;Female;No;42;Yes;Artist;;Low;10
462417;Male;No;30;No;Healthcare;40;Low;40
466463;Female;No;29;Yes;Healthcare;20;Low;40
464736;Male;No;28;Yes;Engineer;0;Low;50
467520;Male;;22;No;Healthcare;;Low;20
459835;Male;Yes;85;No;Lawyer;;Low;10
463855;Female;Yes;40;Yes;Artist;10;Average;20
460344;Female;Yes;52;Yes;Artist;140;Average;20
466211;Male;Yes;47;Yes;Artist;0;Low;
460139;Male;No;26;No;Artist;60;Low;60
464126;Female;No;55;Yes;Marketing;30;Low;10
461286;Female;No;20;No;Doctor;40;Low;40
461621;Female;Yes;87;Yes;Lawyer;0;High;20
460163;Male;No;28;No;Healthcare;0;Low;20
461958;Male;No;38;No;Artist;20;Low;20
464875;Male;Yes;42;No;Entertainment;10;Low;20
464791;Male;Yes;42;No;Marketing;0;High;60
464579;Female;No;29;No;Engineer;10;Low;40
463531;Male;No;32;Yes;Doctor;0;Low;40
462651;Male;Yes;38;No;Executive;;High;50
465486;Female;Yes;59;No;Artist;10;High;20
460882;Male;No;22;No;Healthcare;0;Low;20
467162;Female;No;26;No;Homemaker;90;Low;
461298;Female;Yes;78;Yes;Artist;10;High;20
461595;Female;No;32;Yes;Healthcare;0;Low;30
459260;Male;Yes;37;Yes;Artist;0;Average;40
462772;Male;Yes;37;Yes;Healthcare;10;High;40
462941;Male;No;67;No;Lawyer;;Low;20
459143;Male;Yes;47;No;Artist;0;High;40
464532;Female;Yes;68;Yes;Lawyer;0;High;20
460056;Male;No;30;Yes;Healthcare;30;Low;50
466761;Female;Yes;48;Yes;Entertainment;20;Low;10
465469;Female;No;43;Yes;Artist;60;Low;10
461886;Male;Yes;33;Yes;Healthcare;90;Low;20
465680;Male;Yes;31;No;Healthcare;0;Average;50
459316;Male;Yes;32;Yes;Healthcare;10;Low;20
465609;Female;No;21;No;Healthcare;10;Low;40
467009;Female;No;29;No;Homemaker;20;Low;40
461766;Female;Yes;35;Yes;Artist;10;Low;20
464938;Male;Yes;46;No;Artist;0;Low;30
462034;Female;Yes;38;Yes;Artist;90;High;20
464049;Female;No;32;Yes;Healthcare;10;Low;30
467925;Female;No;28;Yes;Artist;30;Low;70
463711;Female;Yes;68;Yes;Lawyer;30;Low;10
463846;Female;Yes;45;Yes;Artist;40;Low;10
462064;Male;Yes;58;Yes;Artist;0;Average;30
463249;Male;No;28;No;Entertainment;10;Low;20
464217;Female;No;32;No;Healthcare;120;Low;30
463378;Male;No;30;Yes;Doctor;10;Low;10
463035;Female;Yes;42;No;Homemaker;30;Average;40
459656;Male;No;22;No;;;Low;60
463114;Male;No;41;Yes;Artist;;Low;30
465309;Female;No;18;No;Healthcare;60;Low;40
462688;Female;Yes;29;Yes;Healthcare;80;Low;30
459255;Female;No;33;Yes;Healthcare;0;Low;30
467385;Male;No;47;No;Artist;10;Low;
467492;Female;Yes;57;Yes;Doctor;10;Low;20
460789;Male;Yes;36;Yes;Executive;10;Low;30
467307;Male;Yes;57;Yes;Executive;10;High;30
464026;Male;No;18;No;Healthcare;10;Low;20
464645;Male;;52;Yes;Artist;10;Average;50
462493;Male;Yes;52;Yes;Artist;10;Average;60
460685;Male;No;51;;Artist;60;Low;40
460452;Female;Yes;37;Yes;Entertainment;0;Average;20
459322;Male;No;36;Yes;Marketing;0;Low;10
464066;Female;No;29;Yes;Healthcare;90;Low;30
461114;Male;Yes;45;Yes;Artist;10;Average;40
465165;Male;No;61;Yes;Artist;0;Low;10
464526;Male;Yes;52;Yes;Entertainment;10;Average;40
460666;Female;Yes;49;Yes;Homemaker;140;Low;10
465417;Male;Yes;40;Yes;Entertainment;;Average;20
464096;Female;No;31;No;Healthcare;10;Low;50
464891;Male;Yes;42;No;Entertainment;10;Low;30
460107;Male;Yes;51;Yes;Engineer;10;Average;50
467708;Female;No;42;Yes;Healthcare;80;Low;10
461873;Male;No;29;Yes;Doctor;10;Low;40
465181;Female;No;33;Yes;Healthcare;80;Low;10
467204;Male;No;27;Yes;Healthcare;;Low;30
467320;Female;No;21;No;Healthcare;0;Low;40
459468;Male;Yes;35;No;Artist;90;Average;30
467316;Female;No;42;Yes;Doctor;0;Low;10
466182;Female;No;41;Yes;Artist;20;Low;10
463757;Male;No;39;Yes;Artist;0;Low;30
462314;Female;No;28;No;Doctor;140;Low;10
466392;Female;Yes;45;Yes;Engineer;30;Average;
466652;Female;Yes;61;Yes;Doctor;10;Average;20
461664;Male;Yes;62;Yes;Artist;0;Average;40
